arm,read_ratio,nop_counter,streaming_only,status,throughput_GBps,probe_latency_ns,reason
fixedlat,50,1,False,failed,,,std::bad_alloc under the recorded address-space limit; measurement incomplete
fixedlat,50,33,False,pending,,,not yet evaluated
fixedlat,50,36,False,pending,,,not yet evaluated
fixedlat,50,38,False,pending,,,not yet evaluated
fixedlat,50,41,False,pending,,,not yet evaluated
fixedlat,50,44,False,pending,,,not yet evaluated
fixedlat,50,47,False,pending,,,not yet evaluated
fixedlat,50,50,False,pending,,,not yet evaluated
fixedlat,50,52,False,pending,,,not yet evaluated
fixedlat,50,55,False,pending,,,not yet evaluated
fixedlat,50,58,False,pending,,,not yet evaluated
fixedlat,50,65,False,pending,,,not yet evaluated
fixedlat,50,70,False,pending,,,not yet evaluated
fixedlat,50,80,False,pending,,,not yet evaluated
fixedlat,50,90,False,pending,,,not yet evaluated
fixedlat,50,100,False,pending,,,not yet evaluated
fixedlat,50,125,False,pending,,,not yet evaluated
fixedlat,50,150,False,pending,,,not yet evaluated
fixedlat,50,200,False,pending,,,not yet evaluated
fixedlat,50,300,False,pending,,,not yet evaluated
fixedlat,50,500,False,pending,,,not yet evaluated
fixedlat,50,750,False,pending,,,not yet evaluated
fixedlat,50,1000,False,pending,,,not yet evaluated
fixedlat,50,2000,False,pending,,,not yet evaluated
fixedlat,50,5000,False,pending,,,not yet evaluated
fixedlat,50,10000,False,complete,3.6309625584650296,17.929308799999998,
fixedlat,100,1,True,complete,19.24923076923077,,
md1,100,1,False,complete,615.6834362523272,180.0784128,
md1,100,33,False,complete,19.008259960401812,176.8015808,
md1,100,36,False,complete,17.669575017106787,110.8986528,
md1,100,38,False,complete,16.99090665685637,80.20737919999999,
md1,100,41,False,complete,16.079269737449785,59.761478399999994,
md1,100,44,False,complete,15.273598391129775,49.670192,
md1,100,47,False,complete,14.568078788499848,43.374572799999996,
md1,100,50,False,complete,13.932575904188122,39.3699072,
md1,100,52,False,complete,13.545761823907153,37.381510399999996,
md1,100,55,False,complete,13.017458804143988,34.987555199999996,
md1,100,58,False,complete,12.538883764998953,33.172672,
md1,100,65,False,complete,11.58425740197081,30.228015999999997,
md1,100,70,False,complete,11.0200599598618,28.710364799999997,
md1,100,80,False,complete,10.083356399873978,26.7631104,
md1,100,90,False,complete,9.351235711574285,25.458326399999997,
md1,100,100,False,complete,8.751105186767473,24.6401376,
md1,100,125,False,complete,7.697259794933015,23.0689472,
md1,100,150,False,complete,6.975364142364771,22.276300799999998,
md1,100,200,False,complete,6.056501121309409,21.4777056,
md1,100,300,False,complete,5.146021891716273,20.6786112,
md1,100,500,False,complete,4.389413225539587,20.261072,
md1,100,750,False,complete,4.039882450977915,19.8801408,
md1,100,1000,False,complete,3.837663298051105,19.8620448,
md1,100,2000,False,complete,3.591318643087713,19.4905152,
md1,100,5000,False,complete,3.4100823727994083,19.4716288,
md1,100,10000,False,complete,3.348290036791091,19.4716288,
md1,90,1,False,complete,615.6892648230104,180.0784128,
md1,90,33,False,complete,19.00854955050458,176.8015808,
md1,90,36,False,complete,17.669805858417753,110.8986528,
md1,90,38,False,complete,16.99090665685637,80.20737919999999,
md1,90,41,False,complete,16.079162645126832,59.761478399999994,
md1,90,44,False,complete,15.273856090743251,49.670192,
md1,90,47,False,complete,14.568078788499848,43.374572799999996,
md1,90,50,False,complete,13.932901025261177,39.3699072,
md1,90,52,False,complete,13.545933031351936,37.381510399999996,
md1,90,55,False,complete,13.017641726110208,34.987555199999996,
md1,90,58,False,complete,12.539076694648218,33.172672,
md1,90,65,False,complete,11.58425740197081,30.228015999999997,
md1,90,70,False,complete,11.019837044173642,28.710364799999997,
md1,90,80,False,complete,10.083356399873978,26.7631104,
md1,90,90,False,complete,9.351235711574285,25.458326399999997,
