case,arm,cores,core,program,signed_error_pct
test-c4_google_04,fixedlat,4,3,tahoe_0006,-29.56715137375044
test-c8-03,md1,8,0,tahoe_0013,-16.09438866908132
test-c8-03,md1,8,1,tahoe_0006,-15.224370540775606
test-c8-03,md1,8,2,tahoe_0014,-12.42144884762955
test-c8-03,md1,8,3,ligra_cf,-24.418201196133168
test-c8-03,md1,8,4,bark,-24.31455472883937
test-c8-03,md1,8,5,tahoe_0035,-15.5157295005096
test-c8-03,md1,8,6,ligra_radii,-10.734521181166961
test-c8-03,md1,8,7,tahoe_0011,-13.672163657356975
test-c8-05,wmg1,8,0,sierra_a_6_0001,-27.861407147377157
test-c8-05,wmg1,8,1,tahoe_0035,-33.87959661359181
test-c8-05,wmg1,8,2,tahoe_0016,-29.466303830968776
test-c8-05,wmg1,8,3,sierra_a_4_0005,-34.964408086229355
test-c8-05,wmg1,8,4,gcc,-37.229005990327394
test-c8-05,wmg1,8,5,tahoe_0006,-34.3218828544139
test-c8-05,wmg1,8,6,sierra_a_3_0006,-31.54918704075251
test-c8-05,wmg1,8,7,ligra_radii,-36.13768630221346
test-c4_mixed_06,mess,4,0,tahoe_0035,-2.6220670134302826
test-c4_mixed_06,mess,4,1,sierra_a_6_0006,-3.228163750597956
test-c4_mixed_06,mess,4,2,ligra_radii,-8.874588026824267
test-c4_mixed_06,mess,4,3,cam4,-4.5664435894689595
test-c8-01,wmg1,8,0,cam4,-3.603292462880549
test-c8-01,wmg1,8,1,tahoe_0010,-11.323177394516598
test-c8-01,wmg1,8,2,sierra_a_3_0006,-11.283375397265141
test-c8-01,wmg1,8,3,sierra_a_4_0005,-12.787591851180222
test-c8-01,wmg1,8,4,tahoe_0016,-8.881493351142904
test-c8-01,wmg1,8,5,biogpt,-44.40840614689107
test-c8-01,wmg1,8,6,sierra_a_6_0011,-17.665301844497197
test-c8-01,wmg1,8,7,sierra_a_3_0001,-11.156150797563862
test-c4_mixed_07,mess,4,0,tahoe_0014,-4.662426923519105
test-c4_mixed_07,mess,4,1,gap_bc,-0.24498183229725634
test-c4_mixed_07,mess,4,2,sierra_a_3_0001,-3.6372426504744477
test-c4_mixed_07,mess,4,3,bark,-21.846363731335316
test-c8-06,mess,8,0,bark,-29.489230746524942
test-c8-06,mess,8,1,gap_bc,-9.814758364661746
test-c8-06,mess,8,2,sierra_a_3_0001,-9.026505588252254
test-c8-06,mess,8,3,tahoe_0023,-10.15438180486745
test-c8-06,mess,8,4,tahoe_0013,-9.273973006824937
test-c8-06,mess,8,5,sierra_a_6_0011,-13.440680825249906
test-c8-06,mess,8,6,sierra_a_4_0005,-9.041038448481105
test-c8-06,mess,8,7,sierra_a_6_0006,-9.607682833416616
test-c4_google_03,wmg1,4,0,sierra_a_4_0013,-44.57819517992767
test-c4_google_03,wmg1,4,1,sierra_a_3_0006,-30.738662491926068
test-c4_google_03,wmg1,4,2,sierra_a_6_0001,-27.44025124884654
test-c4_google_03,wmg1,4,3,sierra_a_6_0011,-36.107941741362794
test-c4_mixed_06,md1,4,0,tahoe_0035,-39.10133330101508
test-c4_mixed_06,md1,4,1,sierra_a_6_0006,-28.86930484358283
test-c4_mixed_06,md1,4,2,ligra_radii,-41.511546775332555
test-c4_mixed_06,md1,4,3,cam4,-6.871456198915153
test-c8-07,mess,8,0,biogpt,-36.556248577127555
test-c8-07,mess,8,1,ligra_cf,-5.728854598222337
test-c8-07,mess,8,2,gap_bc,1.4598465271394676
test-c8-07,mess,8,3,sierra_a_6_0001,1.9398893256451464
test-c8-07,mess,8,4,sierra_a_6_0011,-3.682216944348355
test-c8-07,mess,8,5,sierra_a_4_0013,0.18953352658140493
test-c8-07,mess,8,6,tahoe_0035,1.3199502193900738
test-c8-07,mess,8,7,tahoe_0010,1.4284744560324463
test-c4_mixed_05,fixedlat,4,0,gcc,-6.134148896817887
test-c4_mixed_05,fixedlat,4,1,sierra_a_4_0005,-19.244597675141872
test-c4_mixed_05,fixedlat,4,2,tahoe_0016,-15.144382020317728
test-c4_mixed_05,fixedlat,4,3,biogpt,-29.493053023717135
test-c8-02,wmg1,8,0,gcc,-42.932095479513094
test-c8-02,wmg1,8,1,gap_bc,-47.21444699646492
test-c8-02,wmg1,8,2,tahoe_0023,-32.124139839200225
test-c8-02,wmg1,8,3,sierra_a_4_0013,-47.342121050408906
test-c8-02,wmg1,8,4,pop2,-35.1120042852309
test-c8-02,wmg1,8,5,xalancbmk,-9.91816538321348
test-c8-02,wmg1,8,6,sierra_a_6_0006,-31.421923130699255
test-c8-02,wmg1,8,7,sierra_a_6_0001,-31.693387447670844
test-c8-08,wmg1,8,0,ligra_radii,-5.40121548092363
test-c8-08,wmg1,8,1,biogpt,-39.467549023336474
test-c8-08,wmg1,8,2,pop2,-5.798184916026288
test-c8-08,wmg1,8,3,sierra_a_6_0006,-5.9084860510867
test-c8-08,wmg1,8,4,sierra_a_3_0006,-7.514242352489197
test-c8-08,wmg1,8,5,bark,-17.018949542270928
test-c8-08,wmg1,8,6,cam4,-2.6910922534477466
test-c8-08,wmg1,8,7,ligra_cf,-17.525196179362734
test-c8-05,fixedlat,8,0,sierra_a_6_0001,-27.536359460575106
test-c8-05,fixedlat,8,1,tahoe_0035,-34.16746487903524
test-c8-05,fixedlat,8,2,tahoe_0016,-29.689193980610824
test-c8-05,fixedlat,8,3,sierra_a_4_0005,-35.226533634068865
test-c8-05,fixedlat,8,4,gcc,-37.96547345366739
test-c8-05,fixedlat,8,5,tahoe_0006,-34.317979709465504
test-c8-05,fixedlat,8,6,sierra_a_3_0006,-31.302078526317967
test-c8-05,fixedlat,8,7,ligra_radii,-36.23836987398197
test-c4_non_google_01,wmg1,4,0,ligra_radii,-21.593879363720376
test-c4_non_google_01,wmg1,4,1,gap_bc,-32.147814124724206
test-c4_non_google_01,wmg1,4,2,biogpt,-40.70397751292149
test-c4_non_google_01,wmg1,4,3,cam4,-6.263516953690113
test-c4_non_google_01,fixedlat,4,0,ligra_radii,-22.647607080960103
test-c4_non_google_01,fixedlat,4,1,gap_bc,-34.31012720561283
test-c4_non_google_01,fixedlat,4,2,biogpt,-41.67678229417475
test-c4_non_google_01,fixedlat,4,3,cam4,-5.852779337176489
test-c4_mixed_07,md1,4,0,tahoe_0014,-27.423303100846
test-c4_mixed_07,md1,4,1,gap_bc,-35.799550135867605
test-c4_mixed_07,md1,4,2,sierra_a_3_0001,-25.335184675251845
test-c4_mixed_07,md1,4,3,bark,-33.198455229623896
test-c4_google_03,fixedlat,4,0,sierra_a_4_0013,-43.60950310538054
test-c4_google_03,fixedlat,4,1,sierra_a_3_0006,-29.688791699196866
test-c4_google_03,fixedlat,4,2,sierra_a_6_0001,-26.610488513471704
test-c4_google_03,fixedlat,4,3,sierra_a_6_0011,-35.16605395231604
test-c4_mixed_05,wmg1,4,0,gcc,-5.029685518520911
test-c4_mixed_05,wmg1,4,1,sierra_a_4_0005,-18.873495105690193
test-c4_mixed_05,wmg1,4,2,tahoe_0016,-14.694056268522685
test-c4_mixed_05,wmg1,4,3,biogpt,-28.558827808658023
test-c8-07,wmg1,8,0,biogpt,-45.376608090539946
test-c8-07,wmg1,8,1,ligra_cf,-17.59540708583766
test-c8-07,wmg1,8,2,gap_bc,-11.39433068074675
test-c8-07,wmg1,8,3,sierra_a_6_0001,-6.922192462701151
test-c8-07,wmg1,8,4,sierra_a_6_0011,-14.347765022135858
test-c8-07,wmg1,8,5,sierra_a_4_0013,-12.88286298236413
test-c8-07,wmg1,8,6,tahoe_0035,-9.695263013078293
test-c8-07,wmg1,8,7,tahoe_0010,-9.948880397673815
test-c8-06,md1,8,0,bark,-37.776340236341056
test-c8-06,md1,8,1,gap_bc,-23.51728669201609
test-c8-06,md1,8,2,sierra_a_3_0001,-17.213601181901385
test-c8-06,md1,8,3,tahoe_0023,-17.472337937194713
test-c8-06,md1,8,4,tahoe_0013,-19.753150173409164
test-c8-06,md1,8,5,sierra_a_6_0011,-24.22934871603546
test-c8-06,md1,8,6,sierra_a_4_0005,-20.279925933488883
test-c8-06,md1,8,7,sierra_a_6_0006,-17.961642965288963
test-c4_non_google_01,mess,4,0,ligra_radii,1.8344134275595032
test-c4_non_google_01,mess,4,1,gap_bc,1.0663416417761942
test-c4_non_google_01,mess,4,2,biogpt,-12.237127091147798
test-c4_non_google_01,mess,4,3,cam4,-4.358284190157278
test-c8-08,md1,8,0,ligra_radii,4.339703141045931
test-c8-08,md1,8,1,biogpt,-32.75470308207533
test-c8-08,md1,8,2,pop2,0.26257052827931465
test-c8-08,md1,8,3,sierra_a_6_0006,0.3304177971216863
test-c8-08,md1,8,4,sierra_a_3_0006,-0.6453150058656151
test-c8-08,md1,8,5,bark,-19.909636469113114
test-c8-08,md1,8,6,cam4,-1.5244503459715506
test-c8-08,md1,8,7,ligra_cf,-10.636134587244726
test-c8-03,mess,8,0,tahoe_0013,-3.4840563678273733
test-c8-03,mess,8,1,tahoe_0006,-3.2091008180691216
test-c8-03,mess,8,2,tahoe_0014,-1.2069978709397868
test-c8-03,mess,8,3,ligra_cf,-8.184914440094833
test-c8-03,mess,8,4,bark,-16.27536178447574
test-c8-03,mess,8,5,tahoe_0035,-2.892397642125988
test-c8-03,mess,8,6,ligra_radii,3.539709676210161
test-c8-03,mess,8,7,tahoe_0011,-1.6805300518130208
test-c4_mixed_08,md1,4,0,sierra_a_4_0013,-35.117463107399246
test-c4_mixed_08,md1,4,1,tahoe_0010,-24.125228789851022
test-c4_mixed_08,md1,4,2,ligra_cf,-39.31018665298503
test-c4_mixed_08,md1,4,3,xalancbmk,-4.255469200590164
test-c8-08,fixedlat,8,0,ligra_radii,-7.993129771224916
test-c8-08,fixedlat,8,1,biogpt,-41.41214397316237
test-c8-08,fixedlat,8,2,pop2,-7.309698537959059
test-c8-08,fixedlat,8,3,sierra_a_6_0006,-7.594352590366652
test-c8-08,fixedlat,8,4,sierra_a_3_0006,-9.246989183374023
test-c8-08,fixedlat,8,5,bark,-12.75135621203994
test-c8-08,fixedlat,8,6,cam4,-2.8008364851430776
test-c8-08,fixedlat,8,7,ligra_cf,-22.011712577824976
test-c4_non_google_02,mess,4,0,pop2,7.013620562480199
test-c4_non_google_02,mess,4,1,bark,-2.8082575120858704
test-c4_non_google_02,mess,4,2,xalancbmk,0.9835159877581312
test-c4_non_google_02,mess,4,3,ligra_cf,-0.08652602767860706
test-c4_google_03,astra_single_core,4,0,sierra_a_4_0013,-2.821310982014636
test-c4_google_03,astra_single_core,4,1,sierra_a_3_0006,3.3260070866182327
test-c4_google_03,astra_single_core,4,2,sierra_a_6_0001,1.5578034198571926
test-c4_google_03,astra_single_core,4,3,sierra_a_6_0011,0.6704919382841676
test-c4_google_04,astra_single_core,4,0,tahoe_0023,1.1822142729909206
test-c4_google_04,astra_single_core,4,1,tahoe_0013,1.5549361541547864
test-c4_google_04,astra_single_core,4,2,tahoe_0011,1.6729849588889112
test-c4_google_04,astra_single_core,4,3,tahoe_0006,1.406099587234943
test-c4_mixed_05,astra_single_core,4,0,gcc,9.798448920469196
test-c4_mixed_05,astra_single_core,4,1,sierra_a_4_0005,-1.3618214998917122
test-c4_mixed_05,astra_single_core,4,2,tahoe_0016,-1.152200885629972
test-c4_mixed_05,astra_single_core,4,3,biogpt,12.598092893091971
test-c4_mixed_06,astra_single_core,4,0,tahoe_0035,-11.122325784464275
test-c4_mixed_06,astra_single_core,4,1,sierra_a_6_0006,-8.204537498259281
test-c4_mixed_06,astra_single_core,4,2,ligra_radii,-1.0396247307622262
test-c4_mixed_06,astra_single_core,4,3,cam4,-0.43805124958932695
test-c4_mixed_07,astra_single_core,4,0,tahoe_0014,-4.037168676452383
test-c4_mixed_07,astra_single_core,4,1,gap_bc,-3.1755343297283773
test-c4_mixed_07,astra_single_core,4,2,sierra_a_3_0001,-5.881685462263445
test-c4_mixed_07,astra_single_core,4,3,bark,12.731969885599767
test-c4_mixed_08,astra_single_core,4,0,sierra_a_4_0013,-2.355736769809225
test-c4_mixed_08,astra_single_core,4,1,tahoe_0010,3.5728287296036116
test-c4_mixed_08,astra_single_core,4,2,ligra_cf,-1.6573153345114855
test-c4_mixed_08,astra_single_core,4,3,xalancbmk,0.28898306363010046
test-c4_non_google_01,astra_single_core,4,0,ligra_radii,-5.336422081447992
test-c4_non_google_01,astra_single_core,4,1,gap_bc,-15.226812150030163
test-c4_non_google_01,astra_single_core,4,2,biogpt,20.580959621423283
test-c4_non_google_01,astra_single_core,4,3,cam4,-2.871793160793203
test-c4_non_google_02,astra_single_core,4,0,pop2,-0.30381134668376936
test-c4_non_google_02,astra_single_core,4,1,bark,9.497247781520588
test-c4_non_google_02,astra_single_core,4,2,xalancbmk,0.07573345674855407
