arm,pattern,read_percent,interval,admission_wait_max,admission_wait_sum,cpu_seconds,drain_cpu_seconds,drain_simulated_cycles,drain_wall_seconds,input_loading_wall_seconds,measured_reads,measured_reads_completed,measured_simulated_cycles,measured_writes,measured_writes_completed,peak_rss_kib,repeat,requests_per_second,simulated_cycles,total_process_cpu_seconds,total_process_wall_seconds,wall_seconds,warmup_cpu_seconds,warmup_reads_outstanding,warmup_wall_seconds,warmup_writes_outstanding
deepseek_single_core,streaming,50,256,0,0,1.141582,1e-06,8,2.541e-06,0.087330475,2498354,2498354,1280000008,2501646,2501646,210780,3,4379679.741454821,1305599752,1.26,1.27,1.141635986,0.022976,0,0.0229787,1
deepseek_single_core,streaming,50,256,0,0,1.140183,1e-06,8,2.025e-06,0.083693353,2498354,2498354,1280000008,2501646,2501646,210840,4,4385094.867146742,1305599752,1.26,1.26,1.140226187,0.023291,0,0.023301684,1
deepseek_single_core,streaming,50,256,0,0,1.147706,1e-06,8,2.151e-06,0.084258135,2498354,2498354,1280000008,2501646,2501646,210832,5,4356302.781677848,1305599752,1.26,1.27,1.147762277,0.022992,0,0.022994704,1
astra_multicore,streaming,50,256,0,0,0.869805,1e-06,43,2.423e-06,0.082551579,2498354,2498354,1280000043,2501646,2501646,210796,1,5748253.999750385,1305599787,0.98,0.98,0.869829343,0.018016,0,0.018017956,1
astra_multicore,streaming,50,256,0,0,0.866934,1e-06,43,2.303e-06,0.099999686,2498354,2498354,1280000043,2501646,2501646,210796,2,5767223.320791756,1305599787,1.0,1.0,0.866968335,0.017466,0,0.017467994,1
astra_multicore,streaming,50,256,0,0,0.864392,1e-06,43,1.729e-06,0.084384179,2498354,2498354,1280000043,2501646,2501646,210828,3,5784336.956748435,1305599787,0.97,0.98,0.864403308,0.017761,0,0.017762866,1
astra_multicore,streaming,50,256,0,0,0.86658,0.0,43,1.729e-06,0.085133858,2498354,2498354,1280000043,2501646,2501646,210832,4,5769537.741924434,1305599787,0.98,0.98,0.866620555,0.017738,0,0.017741409,1
astra_multicore,streaming,50,256,0,0,0.866972,1e-06,43,2.186e-06,0.083700782,2498354,2498354,1280000043,2501646,2501646,210840,5,5767051.626666923,1305599787,0.98,0.98,0.866994146,0.017661,0,0.017663507,1
deepseek_multicore,streaming,50,256,0,0,1.219711,1e-06,8,2.226e-06,0.081742367,2498354,2498354,1280000008,2501646,2501646,210840,1,4099065.4161184332,1305599752,1.34,1.34,1.219790243,0.024566,0,0.024568006,1
deepseek_multicore,streaming,50,256,0,0,1.222511,1e-06,8,2.727e-06,0.083665804,2498354,2498354,1280000008,2501646,2501646,210832,2,4089757.0271751164,1305599752,1.35,1.35,1.222566516,0.024677,0,0.024679465,1
deepseek_multicore,streaming,50,256,0,0,1.222285,0.0,8,1.674e-06,0.084308718,2498354,2498354,1280000008,2501646,2501646,210804,3,4090594.6015336583,1305599752,1.34,1.35,1.222316188,0.024711,0,0.024712816,1
deepseek_multicore,streaming,50,256,0,0,1.22106,1e-06,8,1.875e-06,0.086030325,2498354,2498354,1280000008,2501646,2501646,210840,4,4094713.6486816667,1305599752,1.34,1.35,1.221086608,0.02471,0,0.024712402,1
deepseek_multicore,streaming,50,256,0,0,1.221469,1e-06,8,1.808e-06,0.092107672,2498354,2498354,1280000008,2501646,2501646,210832,5,4093373.018279107,1305599752,1.35,1.35,1.221486529,0.024501,0,0.024503329,1
fixedlat,streaming,50,256,0,0,0.412685,1e-06,0,1.403e-06,0.086724829,2498354,2498354,1280000000,2501646,2501646,210840,1,12115780.844289448,1305599744,0.51,0.52,0.412684916,0.008773,0,0.008775853,0
fixedlat,streaming,50,256,0,0,0.413077,1e-06,0,1.478e-06,0.083790079,2498354,2498354,1280000000,2501646,2501646,210804,2,12103552.348799514,1305599744,0.51,0.52,0.413101861,0.008647,0,0.008649528,0
fixedlat,streaming,50,256,0,0,0.413256,1e-06,0,1.117e-06,0.089517633,2498354,2498354,1280000000,2501646,2501646,210792,3,12098779.400363635,1305599744,0.52,0.53,0.413264829,0.008635,0,0.008643781,0
