cohort,cores,arm,cases,core_abs_pct,core_signed_pct,mae_L,drift_L,abs_drift_L,p99_L,p999_L,worst_core_pct,makespan_abs_pct,oracle_coverage,model_coverage,min_oracle_pairing,paired_reads_total
test,1,wmg1,24,24.4379080476504,-24.4379080476504,0.5569291711366561,-0.5558454372431061,0.5558454372431061,2.0423620977407455,3.8254271814086054,24.4379080476504,24.4379080476504,0.9250946475806524,0.9250922957450808,0.8737166726397166,7645497
test,1,mess,24,8.566498271889259,6.135852320382437,0.4756378677619062,0.12770419940317765,0.231107920892438,1.4341618730794998,3.172408563148341,8.566498271889259,8.566498271889259,0.9254047985481592,0.9254025749721574,0.875747576264891,7641627
test,1,astra_single_core,24,1.5395424307536392,-1.3257032829944304,0.20097161117230208,0.010653932536688294,0.022736762910447728,1.902892028273284,4.302935661226438,1.5395424307536392,1.5395424307536392,0.9387580914046337,0.938757962751152,0.8791308467058196,7855246
test,1,astra_multicore,24,1.5468202147759396,-1.340718854824783,0.19964643564585813,0.008816664729815264,0.021632294145654013,1.8868722754465521,4.270899634530564,1.5468202147759396,1.5468202147759396,0.9387885562113408,0.9387881424973377,0.8790743242879521,7855407
test,1,deepseek_single_core,24,0.6788657490402975,-0.4908024616628787,0.19666880257128716,-0.021792048049283374,0.02710801248289219,1.6012045210165418,3.1024300460776026,0.6788657490402975,0.6788657490402975,0.9374369136601932,0.9374370941947788,0.8783772144675858,7844799
test,1,deepseek_multicore,24,0.7476950817925223,-0.5602964805072242,0.19949927911850915,-0.032662904015008556,0.0379695046044548,1.611070882153264,3.1348047310519203,0.7476950817925223,0.7476950817925223,0.9374372437967811,0.9374374243258813,0.8783772144675858,7844746
validation,1,fixedlat,14,23.41527847969589,-23.41527847969589,0.4831396511802898,-0.4764786482967391,0.4764786482967391,1.8430323880661488,3.209559938637137,23.41527847969589,23.41527847969589,0.9612567026104438,0.9612526627217993,0.875196359591013,5010451
validation,1,md1,14,20.96438904720632,-20.96438904720632,0.4819831628308783,-0.4308239807764914,0.43201497313962406,1.9066361127990004,3.4136578796062116,20.96438904720632,20.96438904720632,0.9418754118058733,0.9418715002696446,0.8707709584629552,4773337
validation,1,wmg1,14,23.559703197425154,-23.559703197425154,0.5064336940617377,-0.498723625454951,0.498723625454951,1.9851957617987475,3.466966462596757,23.559703197425154,23.559703197425154,0.9420541497647036,0.9420499795868132,0.8648288943120099,4763739
validation,1,mess,14,13.190198473169222,5.439175126745117,0.5634505725844242,0.25577236670614095,0.34224059568525844,1.401159680272677,2.8182017447914816,13.190198473169222,13.190198473169222,0.942139030521534,0.9421379034542756,0.8645466969156548,4764373
