case,arm,mode,ending,core_abs_pct,signed_pct,instructions,oracle_instructions,cycles,ipc,dram_reads,verification,low_traffic,roi_seconds,total_hours,peak_rss_gib
polybench421_trisolv_large,mess,SE,roi_end,4.033038608154633,-4.033038608154633,14022009,14022009,9326267,1.5034964150179273,229207,array dump retained; compare oracle/FixedLat at printed precision,False,34.66097012299997,0.021845300131373934,0.14260101318359375
polybench421_atax_large,fixedlat,SE,roi_end,4.942391406122585,-4.942391406122585,41931771,41931771,18284062,2.2933509523212074,476230,array dump retained; compare oracle/FixedLat at printed precision,False,116.52614168700006,0.06847497469849056,0.1425933837890625
gapbs-c1-pr,wmg1,FS,roi_end,1.3582303032095828,-1.3582303032095828,1492093675,1492383349,13126509075,0.11367025813753913,147407113,numerical_verification,False,13929.492568537,4.559827288190524,3.133861541748047
npb-c1-is.B.x,wmg1,FS,instruction_cap,0.23884897560443327,-0.23884897560443327,2000000001,2000000004,4432432637,0.4512194915958516,21470569,unavailable: instruction-capped interval,False,7529.357530844,2.094550830721855,3.129894256591797
gapbs-c1-bfs,wmg1,FS,roi_end,21.670915905551393,-21.670915905551393,66953582,66989163,77397774,0.8650582379798158,1510928,numerical_verification,False,291.722795564,0.782511513431867,3.1243667602539062
polybench421_gesummv_large,md1,SE,roi_end,6.725666325969023,-6.725666325969023,16609512,16609512,6453778,2.5736106819912306,377487,array dump retained; compare oracle/FixedLat at printed precision,False,49.20629217599998,0.0440037747224172,0.142578125
parsec-c1-canneal,deepseek_single_core,FS,roi_end,0.622826588224946,0.622826588224946,1774952631,1774917366,8010602662,0.22157541771730432,35967255,roi_and_process_completion,False,9977.676003467,3.613444027569559,3.2398529052734375
polybench421_atax_large,md1,SE,roi_end,6.897065342838161,-6.897065342838161,41931771,41931771,17908086,2.3414993093064216,476230,array dump retained; compare oracle/FixedLat at printed precision,False,117.12205415900002,0.06897033333778381,0.14261627197265625
parsec-c1-streamcluster,fixedlat,FS,instruction_cap,14.886303759965084,-14.886303759965084,2000000000,2000000001,1547157692,1.2926930527777125,37339804,unavailable: instruction-capped interval,False,5536.6808664810005,1.5409965031676822,3.2397079467773438
gapbs-c1-pr,md1,FS,roi_end,1.4608630690695077,-1.4608630690695077,1492073319,1492383349,13112851474,0.11378709824926063,147419786,numerical_verification,False,13911.387164226,4.565157623754607,3.1329498291015625
polybench421_gesummv_large,astra_multicore,SE,roi_end,0.3561138269286801,-0.3561138269286801,16609512,16609512,6894496,2.409097343736221,377488,array dump retained; compare oracle/FixedLat at printed precision,False,49.428705260000015,0.04425135168764326,0.14260101318359375
parsec-c1-blackscholes,mess,FS,instruction_cap,0.13539426694646106,-0.13539426694646106,2000000000,2000000003,689038163,2.902596847890412,2647644,unavailable: instruction-capped interval,False,4971.233957227,1.3837866855992211,3.241802215576172
polybench421_gemver_large,md1,SE,roi_end,26.13331933414481,-26.13331933414481,88101036,88101036,37357601,2.3583162098658317,1456061,array dump retained; compare oracle/FixedLat at printed precision,False,229.64852808199998,0.10378409312831031,0.14260101318359375
polybench421_mvt_large,fixedlat,SE,roi_end,10.757655721399173,-10.757655721399173,58030014,58030014,24879103,2.3324801541277433,965701,array dump retained; compare oracle/FixedLat at printed precision,False,149.34630390299998,0.08378810279899174,0.142578125
gapbs-c1-bfs,deepseek_multicore,FS,roi_end,2.46984574970877,-2.46984574970877,66984080,66989163,96370549,0.6950679506868847,1516726,numerical_verification,False,300.33730632,0.7940913057989545,3.12542724609375
