arm,interval,mean,median,n,oracle_relative_speedup,pattern,read_percent,standard_deviation
astra_multicore,256,6235123.621292379,6239695.065602968,5,35.95707352361234,streaming,100,15058.31131020108
deepseek_multicore,256,4252752.825801413,4253533.768862014,5,24.5115546279279,streaming,100,4142.615400011557
fixedlat,256,9015801.98663565,9012697.020869043,5,51.9368664683478,streaming,100,34785.75341458109
md1,256,9033158.21713598,9032916.127025202,5,52.05338175939888,streaming,100,9788.189981512876
wmg1,256,5712755.442162355,5711195.846372451,5,32.91152641221562,streaming,100,23746.210214538096
mess,256,8507729.34775942,8516024.019902207,5,49.074722176809104,streaming,100,17327.37247664404
oracle,256,129161.39708507649,129605.2359830192,5,1.0,random,100,1123.9458912913392
astra_single_core,256,6057331.8763737995,6066289.6445813915,5,46.805899457458594,random,100,21109.746959417906
deepseek_single_core,256,4455640.184994476,4459324.35759932,5,34.406976876949464,random,100,12338.108212813055
astra_multicore,256,6000339.891685814,6007226.804378641,5,46.35018607709417,random,100,18431.530174493957
deepseek_multicore,256,4250087.917138276,4251568.046533228,5,32.80398368388655,random,100,4502.0037836515085
fixedlat,256,9037368.644261643,9036398.169041388,5,69.72247764916945,random,100,38723.86455421724
md1,256,9029995.199886646,9028305.409500947,5,69.6600360396229,random,100,11254.990784915535
wmg1,256,5711773.777470063,5738393.39353918,5,44.27593800524402,random,100,52997.23452218894
mess,256,8458652.854797024,8501521.685666213,5,65.59551102379905,random,100,106492.90583140841
oracle,64,586224.517522388,585669.1827331409,5,1.0,streaming,100,4567.689795650577
astra_single_core,64,6185415.435354463,6191056.552499535,5,10.570910566965035,streaming,100,29218.975014578537
deepseek_single_core,64,4437732.299656346,4439592.222708493,5,7.5803753272286905,streaming,100,9410.149563212215
astra_multicore,64,6190488.460378997,6187812.025062223,5,10.56537070327924,streaming,100,23760.120688174593
deepseek_multicore,64,4196805.898934285,4196350.725001207,5,7.165052983355053,streaming,100,4366.59372367437
fixedlat,64,9032064.370525671,9041593.13493099,5,15.438055136752476,streaming,100,19808.486645878427
md1,64,9042859.494484706,9042602.946969109,5,15.439779338858187,streaming,100,1780.6825560265277
wmg1,64,5501756.755583903,5509561.60063528,5,9.40729299589202,streaming,100,32267.82944935775
mess,64,7763139.100026171,7763269.553638535,5,13.255383384540918,streaming,100,14939.94745985749
oracle,64,260153.05804191364,260208.23503215905,5,1.0,random,50,219.2060990734342
astra_single_core,64,5138782.882742602,5151797.358856486,5,19.7987483302355,random,50,24756.780456528617
deepseek_single_core,64,4028573.0381022114,4029829.588460383,5,15.486941018459072,random,50,5951.872479950892
astra_multicore,64,5039634.648065469,5041803.910409197,5,19.37603515809591,random,50,14450.115814966726
deepseek_multicore,64,3842938.7744702054,3844373.4074120917,5,14.774218836452148,random,50,2459.0931898431354
fixedlat,64,12126221.694037443,12125665.48865503,5,46.599852949144456,random,50,13590.979998579738
md1,64,12139651.893409424,12142331.064221453,5,46.66390002115339,random,50,5701.4798672059715
wmg1,64,7234347.533541359,7249913.8659483325,5,27.861969337950885,random,50,33625.57103266294
mess,64,10918822.215032011,10909479.04058559,5,41.92595610679766,random,50,17704.293628109786
oracle,1,76379.66902662352,76564.65383611387,5,1.0,streaming,75,306.68152717588276
astra_single_core,1,4720028.075246516,4724929.444046091,5,61.711628111840895,streaming,75,21103.554241789847
deepseek_single_core,1,2843450.538447952,2846769.307867802,5,37.181247027659694,streaming,75,8218.749341459345
astra_multicore,1,4673081.237092666,4678754.848661492,5,61.1085483214792,streaming,75,18237.369370380013
deepseek_multicore,1,2737972.165438204,2739496.490615414,5,35.78017209454493,streaming,75,12781.062536556958
fixedlat,1,2578552.8243241142,2583198.1743773874,5,33.73878212662864,streaming,75,10956.246476728284
md1,1,6862084.723689954,6919228.7184458915,5,90.37105729304875,streaming,75,182756.75524230822
wmg1,1,3881416.8627997986,3914556.78123721,5,51.127466593348586,streaming,75,50825.88231117245
mess,1,4156817.448009931,4166165.324218768,5,54.41368980961394,streaming,75,20371.685505680045
oracle,256,128432.4653412879,128691.04537145785,5,1.0,random,50,948.6008527332315
astra_single_core,256,5705906.152824911,5704574.214545306,5,44.32767018155339,random,50,12570.851707617621
deepseek_single_core,256,4321236.763640808,4323040.569152293,5,33.59239608843128,random,50,4918.7582128734675
astra_multicore,256,5722101.592092208,5719855.585452249,5,44.44641481419534,random,50,9988.486461879062
deepseek_multicore,256,4062256.1744758273,4063186.344295109,5,31.57318625058178,random,50,2165.8860249318764
fixedlat,256,12143873.09427946,12140458.942612888,5,94.33802412258203,random,50,18808.345496083293
md1,256,12095579.421361415,12101682.70436923,5,94.03671148554707,random,50,52490.714163901204
wmg1,256,7587289.939711606,7596419.710763859,5,59.02834722367291,random,50,81165.74780518605
mess,256,11314987.114327652,11356593.881665936,5,88.24696270735784,random,50,100161.73815275854
oracle,64,268606.1126324735,268453.948669303,5,1.0,random,100,975.771038063795
astra_single_core,64,5546705.87431737,5554619.676201711,5,20.691145366776524,random,100,13259.507097348021
deepseek_single_core,64,4177592.9276700118,4176889.412061923,5,15.559053732553794,random,100,4827.914585757772
astra_multicore,64,5376316.034443565,5377354.548762234,5,20.030826796987697,random,100,4961.808521465754
deepseek_multicore,64,3931501.542924014,3933511.1591386884,5,14.65246154372724,random,100,8903.641880097082
fixedlat,64,9054174.175921053,9055845.466474324,5,33.733329352625155,random,100,51440.35111133833
md1,64,9036559.989186158,9045614.082950126,5,33.6952171044168,random,100,21337.546105747926
wmg1,64,5514642.621519428,5520717.759292327,5,20.56485958451319,random,100,11508.556335872969
mess,64,7673012.959249959,7751140.169853122,5,28.87325818180243,random,100,156694.43408102842
oracle,64,579685.9414239553,585163.7940086179,5,1.0,streaming,75,10418.691552669756
astra_single_core,64,5939128.066374804,5940229.209351619,5,10.15139567788115,streaming,75,6537.396061597293
deepseek_single_core,64,4372283.723450641,4379449.125613771,5,7.484142338357445,streaming,75,17020.975431344355
astra_multicore,64,5943173.470226621,5942272.5807903055,5,10.15488764279697,streaming,75,2711.533724943291
deepseek_multicore,64,4127609.4030811945,4127672.377172892,5,7.053875204575802,streaming,75,1972.9069559762365
fixedlat,64,10228102.172996813,10234613.72028612,5,17.490169120298294,streaming,75,16396.294186641062
md1,64,10231305.293668885,10228397.895209283,5,17.479546752440815,streaming,75,12970.234640070332
wmg1,64,6306468.226657738,6325662.642512878,5,10.810071824812384,streaming,75,51215.45011865267
mess,64,9044743.909924928,9041537.021800272,5,15.451292636993045,streaming,75,8748.281766798595
oracle,4,76445.30988909186,76484.92663845558,5,1.0,streaming,75,153.29213941316988
astra_single_core,4,4735839.690692618,4735965.037939148,5,61.92024031514164,streaming,75,15899.77222470042
deepseek_single_core,4,2842365.9058236307,2843156.250530604,5,37.172765608708886,streaming,75,3013.786288343265
