case,arm,cohort,stage,cores,core_abs_pct,core_signed_pct,worst_core_pct,makespan_signed_pct,makespan_abs_pct,mae_L,drift_L,abs_drift_L,mae_cycles,p99_L,p999_L,p99_cycles,p999_cycles,min_cycles,max_cycles,min_L,max_L,L,pairs,oracle_coverage,model_coverage,address_mismatches,low_traffic,tail_1L_fraction,tail_1L_count,tail_1L_share,tail_5L_fraction,tail_5L_count,tail_5L_share,oracle_recorded_reads,oracle_without_stable_id,oracle_unmatched_reads,oracle_admissions_without_recorded_latency,oracle_admitted_foreground_reads,oracle_total_admitted_reads,model_recorded_reads,model_without_stable_id,model_unmatched_reads,model_admissions_without_recorded_latency,model_admitted_foreground_reads,model_total_admitted_reads
val7,opus_single_core,validation,single_core,1,4.8482768328931485,-4.8482768328931485,4.8482768328931485,-4.8482768328931485,4.8482768328931485,0.3474896708895636,0.02305413793473189,0.02305413793473189,45.36109475960228,2.1372856782224248,4.9671744845437535,279.0,648.4120000000694,-983,565,-7.530293267715569,4.328195011454015,130.5394046490049,436589,0.9929089143452344,0.9929043981360399,0,False,0.14020738039666597,61213,0.6043643366758137,0.0009665841329030278,422,0.015569864000761456,439707,870,3118,2,439709,439709,439709,870,3120,0,439709,439709
val8,opus_single_core,validation,single_core,1,0.052479435774862165,0.052479435774862165,0.052479435774862165,0.052479435774862165,0.052479435774862165,0.038099354585163996,0.0016797163607953688,0.0016797163607953688,3.97781192001961,0.7087696190744576,3.692737605217173,74.0,385.5450000000128,-692,809,-6.627953735128711,7.7485759706923805,104.40628098116345,228456,0.9132687326105727,0.9132723834803779,0,False,0.007633855096823896,1744,0.42427496960126765,0.0006740904156599082,154,0.10339200334523606,250152,21313,21696,0,250152,250152,250151,21313,21695,0,250151,250151
val9,opus_single_core,validation,single_core,1,0.05638014179456937,-0.05638014179456937,0.05638014179456937,-0.05638014179456937,0.05638014179456937,0.002124247888584058,-0.00025003620183621894,0.00025003620183621894,0.13613329034185476,0.0,0.24966682383122552,0.0,16.0,-987,912,-15.401322195088724,14.231008958379855,64.08540692140971,2068627,0.9978823135555569,0.9978818321886255,0,False,0.00037319439415612384,772,0.7381688795457532,9.233177368370421e-05,191,0.4791253120461349,2073017,4266,4390,1,2073018,2073018,2073018,4266,4391,0,2073018,2073018
test-c1-bark,opus_single_core,test,single_core,1,0.28619258475403225,0.28619258475403225,0.28619258475403225,0.28619258475403225,0.28619258475403225,0.035189560346471575,0.014568501083070768,0.014568501083070768,3.1002243409983175,0.6583376799880621,3.144129954425745,58.0,277.0,-496,709,-5.629922228863428,8.047610605371311,88.10068413682737,124810,0.9986797359471894,0.9986797359471894,0,False,0.0033651149747616375,420,0.24866968695324068,0.0001522313917154074,19,0.025536324847068918,124975,154,165,0,124975,124975,124975,154,165,0,124975,124975
test-c1-biogpt,opus_single_core,test,single_core,1,0.03569390441143541,-0.03569390441143541,0.03569390441143541,-0.03569390441143541,0.03569390441143541,0.002615138873419915,-0.00035255547091290074,0.00035255547091290074,0.24168766507523876,0.021640648252411288,0.36789102029099185,2.0,34.0,-986,913,-10.668839588438765,9.878955927225752,92.41867326119272,2883155,0.9978852753208861,0.997883893815356,0,False,0.0004488138861767751,1294,0.6602566218394054,0.00016648428544424425,480,0.45641145599384636,2889265,5828,6110,4,2889269,2889269,2889269,5828,6114,0,2889269,2889269
test-c1-cam4,opus_single_core,test,single_core,1,0.31473380167773013,-0.31473380167773013,0.31473380167773013,-0.31473380167773013,0.31473380167773013,0.5160515066658842,-0.04198939820107759,0.04198939820107759,200.63562118923755,2.1013919584517105,2.8035706667226004,817.0,1090.0,-1524,1101,-3.919854767050681,2.831863581707874,388.78991456784644,17877,0.9917341617663376,0.9917341617663376,0,False,0.2777871007439727,4966,0.7700182588032719,0.0,0,0.0,18026,146,149,0,18026,18026,18026,146,149,0,18026,18026
test-c1-gap_bc,opus_single_core,test,single_core,1,0.17427618871354322,-0.17427618871354322,0.17427618871354322,-0.17427618871354322,0.17427618871354322,0.1274775214548609,-0.0015542618806668289,0.0015542618806668289,18.035556968598183,1.6539406059027837,9.520760667312178,234.0,1347.0,-3132,2905,-22.137358879006488,20.53289512883584,141.48029207631305,908992,0.9954072883289932,0.9954094684094333,0,False,0.026317063296486656,23922,0.6541197523974519,0.007117774413856227,6470,0.43032596268784945,913186,3510,4194,0,913186,913186,913184,3508,4192,0,913184,913184
test-c1-gcc,opus_single_core,test,single_core,1,0.006580572125801756,-0.006580572125801756,0.006580572125801756,-0.006580572125801756,0.006580572125801756,0.0003384201351436969,-0.0002529862653071193,0.0002529862653071193,0.016285205866110326,0.020780832488458283,0.04156166497691657,1.0,2.0,-17,53,-0.35327415230379083,1.1013841218882892,48.121267545725225,162970,0.9902776933827551,0.9902776933827551,0,False,1.8408296005399768e-05,3,0.05727204220045215,0.0,0,0.0,164570,1599,1600,0,164570,164570,164570,1599,1600,0,164570,164570
test-c1-ligra_cf,opus_single_core,test,single_core,1,1.5276872483758819,-1.5276872483758819,1.5276872483758819,-1.5276872483758819,1.5276872483758819,0.11586272589913002,-0.03664951325818552,0.03664951325818552,14.479994476906565,1.3922736185156013,1.4322814811166242,174.0,179.0,-756,237,-6.0491888252746815,1.8963726872884914,124.97543420058004,318662,0.9596894415549606,0.9596894415549606,0,False,0.053209984246631224,16956,0.5797115614673236,3.138121269558341e-06,1,0.0001638412006005777,332047,12016,13385,0,332047,332047,332047,12016,13385,0,332047,332047
test-c1-ligra_radii,opus_single_core,test,single_core,1,0.0018493140331416371,-0.0018493140331416371,0.0018493140331416371,-0.0018493140331416371,0.0018493140331416371,6.230932844389902e-05,-1.9286220708825888e-05,1.9286220708825888e-05,0.002775620797330117,0.0,0.022448790016213548,0.0,1.0,-14,58,-0.31428306022698965,1.3020298209403858,44.54583072307033,60527,0.9978403508193479,0.9978403508193479,0,False,1.6521552365060223e-05,1,0.34523809523809523,0.0,0,0.0,60658,131,131,0,60658,60658,60658,131,131,0,60658,60658
test-c1-pop2,opus_single_core,test,single_core,1,0.7320673473684983,-0.7320673473684983,0.7320673473684983,-0.7320673473684983,0.7320673473684983,0.06183636670299598,0.0029178612709240435,0.0029178612709240435,5.464389036605963,2.0142916617755797,2.365095265792675,178.0,209.0,-306,306,-3.462771059007457,3.462771059007457,88.36853340448951,59799,0.997281611687402,0.997281611687402,0,False,0.01571932641014064,940,0.4899484338897985,0.0,0,0.0,59962,135,163,0,59962,59962,59962,135,163,0,59962,59962
test-c1-sierra_a_3_0001,opus_single_core,test,single_core,1,0.0020000177216760147,0.0020000177216760147,0.0020000177216760147,0.0020000177216760147,0.0020000177216760147,0.03721922394948109,0.0028678866347576796,0.0028678866347576796,4.11918094598126,0.8945232606480868,1.7890465212961737,99.0,198.0,-243,435,-2.1956480034089405,3.930480993756745,110.67347754408753,160722,0.8921416795723635,0.8921416795723635,0,False,0.009463545749804009,1521,0.37089584815487814,0.0,0,0.0,180153,19064,19431,0,180153,180153,180153,19064,19431,0,180153,180153
test-c1-sierra_a_3_0006,opus_single_core,test,single_core,1,0.05360069222097886,0.05360069222097886,0.05360069222097886,0.05360069222097886,0.05360069222097886,0.07798227694612912,0.0008457925169080521,0.0008457925169080521,9.563089945625537,1.4515021165058188,6.955793850446424,178.0,853.0,-1386,1277,-11.302145693691376,10.413304509988375,122.6315814326864,173427,0.9099337331381531,0.9099289589388962,0,False,0.018024875019460637,3126,0.6309473993939094,0.003338580497846356,579,0.2853298587034775,190593,16849,17166,0,190593,190593,190594,16850,17167,0,190594,190594
test-c1-sierra_a_4_0005,opus_single_core,test,single_core,1,0.07776299944459568,0.07776299944459568,0.07776299944459568,0.07776299944459568,0.07776299944459568,0.031095004200833165,0.003287490407892871,0.003287490407892871,3.3817328992619973,0.6528443741789767,1.7194633517108258,71.0,187.0,-569,567,-5.231949984617432,5.213560002246194,108.75486227370847,326828,0.8796718469911233,0.8796718469911233,0,False,0.007043460168651401,2302,0.348357151581776,1.2238853464207473e-05,4,0.002032128623065474,371534,44379,44706,0,371534,371534,371534,44379,44706,0,371534,371534
test-c1-sierra_a_4_0013,opus_single_core,test,single_core,1,0.029030750889810705,0.029030750889810705,0.029030750889810705,0.029030750889810705,0.029030750889810705,0.0034283003887744484,0.00042400193899997594,0.00042400193899997594,0.3362945614517727,0.040777351545318925,0.6014659352934542,4.0,59.0,-211,212,-2.1510052940155733,2.161199631901903,98.09366838242303,410753,0.9788223238966733,0.9788223238966733,0,False,0.00033109922508174015,136,0.1565581247194753,0.0,0,0.0,419640,8798,8887,0,419640,419640,419640,8798,8887,0,419640,419640
test-c1-sierra_a_6_0001,opus_single_core,test,single_core,1,0.0100383295120759,-0.0100383295120759,0.0100383295120759,-0.0100383295120759,0.0100383295120759,0.05026513679345687,0.0007608878952966066,0.0007608878952966066,5.97826711155556,1.0930371061070083,2.615007196584721,130.0,311.0150000001304,-1474,1355,-12.393359187705618,11.392809836730741,118.9346631268646,201998,0.8967804375621538,0.8967844188823825,0,False,0.011188229586431548,2260,0.4172166565363639,0.0006633729046822246,134,0.11119097580486222,225248,22932,23250,0,225248,225248,225247,22931,23249,0,225247,225247
test-c1-sierra_a_6_0006,opus_single_core,test,single_core,1,0.023503006057873813,0.023503006057873813,0.023503006057873813,0.023503006057873813,0.023503006057873813,0.04331184153358117,0.001686929255085055,0.001686929255085055,5.190647412600907,0.9679281250540431,1.6020879311239336,116.0,192.0,-963,955,-8.035472279543479,7.968718615746648,119.84360924890294,155465,0.9000254726921162,0.9000254726921162,0,False,0.009590583089441353,1491,0.3176176384572298,0.0001157816871964751,18,0.016144462454335012,172734,16996,17269,0,172734,172734,172734,16996,17269,0,172734,172734
test-c1-sierra_a_6_0011,opus_single_core,test,single_core,1,0.07133843455441302,0.07133843455441302,0.07133843455441302,0.07133843455441302,0.07133843455441302,0.07973145974234047,0.006382976547695183,0.006382976547695183,9.44786043840716,1.29118263548723,1.7553332560872146,153.0,208.0,-1237,1056,-10.43916941240329,8.911691915519704,118.496017368035,252505,0.9307121557815431,0.9307052947789388,0,False,0.020759984950793054,5242,0.35176129428176683,7.128571711451258e-05,18,0.008709222545639897,271303,17115,18798,1,271304,271304,271305,17115,18800,0,271305,271305
test-c1-tahoe_0006,opus_single_core,test,single_core,1,0.04284362387714203,0.04284362387714203,0.04284362387714203,0.04284362387714203,0.04284362387714203,0.03281030302412912,0.001535022830178888,0.001535022830178888,3.498179669567984,0.6659267775691059,1.8477123264945616,71.0,197.0,-1696,1426,-15.907208658552165,13.374811053711902,106.61832860840626,220015,0.9039607214758207,0.903964435533241,0,False,0.0070540644956025725,1552,0.3880091262024915,0.00020907665386450924,46,0.06725377183454341,243390,22849,23375,0,243390,243390,243389,22848,23374,0,243389,243389
