case,arm,core_abs_pct,core_signed_pct,mae_L,drift_L,p99_L,p999_L,min_cycles,max_cycles,L,pairs,oracle_coverage,model_coverage
training-c1-gap_sssp,md1,41.2354706186453,-41.2354706186453,0.637378256280577,-0.6290201170149219,1.7825103667350335,10.01974990288063,-1761,16,127.34848797305372,372878,0.985839453883046,0.9858420603173176
training-c1-gap_sssp,mess,5.280816953316878,-5.280816953316878,0.34872567265939625,-0.11781424686435792,1.2956573150276676,9.532661277116222,-1695,70,127.34848797305372,373031,0.9862439653759313,0.98624657287968
training-c1-gap_sssp,opus_single_core,0.09488472195106859,0.09488472195106859,0.07566656297033024,-0.0029771138189040496,1.279952377875817,9.101011079497374,-1689,1621,127.34848797305372,376155,0.994503402655499,0.994503402655499
training-c1-gap_sssp,wmg1,43.173984206818275,-43.173984206818275,0.6573039892528608,-0.6570368871662008,1.8060677724628094,10.044610818392217,-1763,2,127.34848797305372,372835,0.9857257676464833,0.9857283737801831
training-c1-gms_kstar,astra_single_core,0.0007463824876412631,-0.0007463824876412631,0.000875471496398695,0.00038909844284386444,0.0,0.14817445145631905,-67,86,53.990414146114475,10282,0.9569101907864123,0.9569101907864123
training-c1-gms_kstar,deepseek_single_core,0.0013570590684386602,0.0013570590684386602,0.0008970008366387106,0.00046831368981137495,0.0,0.22226167718447856,-67,208,53.990414146114475,10283,0.9570032573289903,0.9570032573289903
training-c1-gms_kstar,fixedlat,0.8039217921430623,-0.8039217921430623,0.16351589128143698,-0.16337173868735558,1.370613675970951,1.389135482402991,-89,7,53.990414146114475,10279,0.9566309911586784,0.9566309911586784
training-c1-gms_kstar,gemini_single_core,0.009194075188671923,0.009194075188671923,0.0034301643270697336,0.0029617595345076903,0.03704361286407976,0.23559737781556883,-67,185,53.990414146114475,10281,0.9568171242438344,0.9568171242438344
training-c1-gms_kstar,md1,0.833471753358314,-0.833471753358314,0.1721295373583531,-0.1721295373583531,1.5002663209952303,1.680353844933987,-91,0,53.990414146114475,10278,0.9565379246161005,0.9565379246161005
training-c1-gms_kstar,mess,3.894108138066104,3.894108138066104,1.08680714134639,1.068384691137286,1.2409610309466719,1.2409610309466719,-24,67,53.990414146114475,10253,0.9542112610516519,0.9542112610516519
training-c1-gms_kstar,opus_single_core,0.000474970673953531,-0.000474970673953531,0.00013869290044413797,-9.186153146300047e-05,0.0,0.07408722572815953,-12,8,53.990414146114475,10283,0.9570032573289903,0.9570032573289903
training-c1-gms_kstar,wmg1,0.833471753358314,-0.833471753358314,0.1721295373583531,-0.1721295373583531,1.5002663209952303,1.680353844933987,-91,0,53.990414146114475,10278,0.9565379246161005,0.9565379246161005
training-c1-gms_maxclique,astra_single_core,0.003828639846286214,-0.003828639846286214,0.0005368939765372945,-0.00016766587542370976,0.0,0.11629353542746032,-195,40,68.79144202293264,24016,0.9118384083833245,0.9118384083833245
training-c1-gms_maxclique,deepseek_single_core,0.005604240934418951,0.005604240934418951,0.000989047077409176,0.0002348532839870014,0.0,0.1744403031411905,-195,118,68.79144202293264,24016,0.9118384083833245,0.9118384083833245
training-c1-gms_maxclique,fixedlat,4.548424137388022,-4.548424137388022,0.3264442488660248,-0.32641882660332516,1.0902518946324404,1.1770359454453054,-213,7,68.79144202293264,24016,0.9118384083833245,0.9118384083833245
training-c1-gms_maxclique,gemini_single_core,0.06547529012489467,0.06547529012489467,0.006032339763439319,0.005519052173694533,0.02907338385686508,0.188976995069623,-195,181,68.79144202293264,24016,0.9118384083833245,0.9118384083833245
training-c1-gms_maxclique,md1,4.671883900547251,-4.671883900547251,0.3389683449974038,-0.33790666288370996,1.293765581630496,1.3228389654873611,-213,1,68.79144202293264,24016,0.9118384083833245,0.9118384083833245
training-c1-gms_maxclique,mess,9.573513935638678,9.573513935638678,0.6747050361721102,0.6351770494260094,0.9739583592049802,0.9739583592049802,-146,67,68.79144202293264,24016,0.9118384083833245,0.9118384083833245
training-c1-gms_maxclique,opus_single_core,0.0012762132820954045,-0.0012762132820954045,0.00015495474407389783,-6.658211659425298e-05,0.0,0.05814676771373016,-12,12,68.79144202293264,24016,0.9118384083833245,0.9118384083833245
training-c1-gms_maxclique,wmg1,4.681871656667998,-4.681871656667998,0.3387813097789709,-0.3387813097789709,1.293765581630496,1.3228389654873611,-213,0,68.79144202293264,24016,0.9118384083833245,0.9118384083833245
training-c1-lbm,astra_single_core,0.7131724397178103,-0.7131724397178103,0.5473659663895533,-0.0786100547401018,1.8470811311531827,3.0024728847406337,-1913,1325,258.7866834531365,920654,0.9932217615652412,0.9932217615652412
training-c1-lbm,deepseek_single_core,1.258921206415148,1.258921206415148,0.5901390579571497,0.03710393328115308,1.8045750800178584,3.079756614077587,-1792,1318,258.7866834531365,892388,0.9627277797735985,0.9627277797735985
