batch,arm,pattern,read_percent,interval,n,median,oracle_relative_speedup
batch_a,deepseek_single_core,random,75,4,5,2789455.7381442655,46.95054226969339
batch_a,fixedlat,random,75,4,5,3012490.1232574135,50.704530971739025
batch_a,md1,random,75,4,5,6982321.297320995,117.52248538223456
batch_a,wmg1,random,75,4,5,4375539.437285641,73.64660657410485
batch_a,mess,random,75,4,5,4847691.279659571,81.5935995053633
batch_a,oracle,streaming,100,256,5,173531.7825992006,1.0
batch_a,astra_single_core,streaming,100,256,5,6203372.159309172,35.747757940324114
batch_a,deepseek_single_core,streaming,100,256,5,4487887.8047580095,25.862050959987563
batch_a,fixedlat,streaming,100,256,5,9012697.020869043,51.9368664683478
batch_a,md1,streaming,100,256,5,9032916.127025202,52.05338175939888
batch_a,wmg1,streaming,100,256,5,5711195.846372451,32.91152641221562
batch_a,mess,streaming,100,256,5,8516024.019902207,49.074722176809104
batch_a,oracle,random,100,256,5,129605.2359830192,1.0
batch_a,astra_single_core,random,100,256,5,6066289.6445813915,46.805899457458594
batch_a,deepseek_single_core,random,100,256,5,4459324.35759932,34.406976876949464
batch_a,fixedlat,random,100,256,5,9036398.169041388,69.72247764916945
batch_a,md1,random,100,256,5,9028305.409500947,69.6600360396229
batch_a,wmg1,random,100,256,5,5738393.39353918,44.27593800524402
batch_a,mess,random,100,256,5,8501521.685666213,65.59551102379905
batch_a,oracle,streaming,100,64,5,585669.1827331409,1.0
batch_a,astra_single_core,streaming,100,64,5,6191056.552499535,10.570910566965035
batch_a,deepseek_single_core,streaming,100,64,5,4439592.222708493,7.5803753272286905
batch_a,fixedlat,streaming,100,64,5,9041593.13493099,15.438055136752476
batch_a,md1,streaming,100,64,5,9042602.946969109,15.439779338858187
batch_a,wmg1,streaming,100,64,5,5509561.60063528,9.40729299589202
batch_a,mess,streaming,100,64,5,7763269.553638535,13.255383384540918
batch_a,oracle,random,50,64,5,260208.23503215905,1.0
batch_a,astra_single_core,random,50,64,5,5151797.358856486,19.7987483302355
batch_a,deepseek_single_core,random,50,64,5,4029829.588460383,15.486941018459072
batch_a,fixedlat,random,50,64,5,12125665.48865503,46.599852949144456
batch_a,md1,random,50,64,5,12142331.064221453,46.66390002115339
batch_a,wmg1,random,50,64,5,7249913.8659483325,27.861969337950885
batch_a,mess,random,50,64,5,10909479.04058559,41.92595610679766
batch_a,oracle,streaming,75,1,5,76564.65383611387,1.0
batch_a,astra_single_core,streaming,75,1,5,4724929.444046091,61.711628111840895
batch_a,deepseek_single_core,streaming,75,1,5,2846769.307867802,37.181247027659694
batch_a,fixedlat,streaming,75,1,5,2583198.1743773874,33.73878212662864
batch_a,md1,streaming,75,1,5,6919228.7184458915,90.37105729304875
batch_a,wmg1,streaming,75,1,5,3914556.78123721,51.127466593348586
batch_a,mess,streaming,75,1,5,4166165.324218768,54.41368980961394
batch_a,oracle,random,50,256,5,128691.04537145785,1.0
batch_a,astra_single_core,random,50,256,5,5704574.214545306,44.32767018155339
batch_a,deepseek_single_core,random,50,256,5,4323040.569152293,33.59239608843128
batch_a,fixedlat,random,50,256,5,12140458.942612888,94.33802412258203
batch_a,md1,random,50,256,5,12101682.70436923,94.03671148554707
batch_a,wmg1,random,50,256,5,7596419.710763859,59.02834722367291
batch_a,mess,random,50,256,5,11356593.881665936,88.24696270735784
batch_a,oracle,random,100,64,5,268453.948669303,1.0
batch_a,astra_single_core,random,100,64,5,5554619.676201711,20.691145366776524
batch_a,deepseek_single_core,random,100,64,5,4176889.412061923,15.559053732553794
batch_a,fixedlat,random,100,64,5,9055845.466474324,33.733329352625155
batch_a,md1,random,100,64,5,9045614.082950126,33.6952171044168
batch_a,wmg1,random,100,64,5,5520717.759292327,20.56485958451319
batch_a,mess,random,100,64,5,7751140.169853122,28.87325818180243
batch_a,oracle,streaming,75,64,5,585163.7940086179,1.0
batch_a,astra_single_core,streaming,75,64,5,5940229.209351619,10.15139567788115
batch_a,deepseek_single_core,streaming,75,64,5,4379449.125613771,7.484142338357445
batch_a,fixedlat,streaming,75,64,5,10234613.72028612,17.490169120298294
batch_a,md1,streaming,75,64,5,10228397.895209283,17.479546752440815
batch_a,wmg1,streaming,75,64,5,6325662.642512878,10.810071824812384
batch_a,mess,streaming,75,64,5,9041537.021800272,15.451292636993045
batch_a,oracle,streaming,75,4,5,76484.92663845558,1.0
batch_a,astra_single_core,streaming,75,4,5,4735965.037939148,61.92024031514164
batch_a,deepseek_single_core,streaming,75,4,5,2843156.250530604,37.172765608708886
batch_a,fixedlat,streaming,75,4,5,3016365.8824933614,39.43739002001963
batch_a,md1,streaming,75,4,5,7002313.56720353,91.55154976226207
batch_a,wmg1,streaming,75,4,5,4371628.134804043,57.15672782780768
batch_a,mess,streaming,75,4,5,4848625.852401759,63.39322093255347
batch_a,oracle,streaming,50,4,5,76034.05598761843,1.0
batch_a,astra_single_core,streaming,50,4,5,4511172.0574466,59.330940574592134
batch_a,deepseek_single_core,streaming,50,4,5,2382022.478462012,31.32836263331666
batch_a,fixedlat,streaming,50,4,5,4102583.407848898,53.95718214107863
batch_a,md1,streaming,50,4,5,8673851.872759562,114.07851074223942
batch_a,wmg1,streaming,50,4,5,5214520.399810253,68.5813788581711
batch_a,mess,streaming,50,4,5,6315146.067989741,83.05680903065483
